Title	Start Page	End Page
Addams Family, The	7	7
All My Loving	8	10
All of Me	11	11
Aloha Oe	12	12
Always With Me	13	13
Anthem To Musubi	14	15
As Long As You Love Me	16	16
Baby Shark	17	17
Brown Eyed Girl	18	18
Build Me Up Buttercup	19	21
Can't Help Falling In Love	22	22
Close To You	23	23
Crazy Little Thing Called Love	24	24
Don't Stop Believin'	25	25
Europa	26	28
Freight Train	29	29
Fly Me To The Moon	30	30
Friday I'm In Love	31	32
Girl From Ipanema	33	33
Hanalei Moon	34	34
Happy Birthday	35	35
Havana (Am)	36	36
Helpless	37	38
He U'i	39	39
Henehene Kou Aka	40	41
Hine Ma Tov	42	42
Hotel California	43	44
I'm Yours	45	46
If You're Happy	47	47
Iko Iko	48	48
Imagine	49	49
Island Style	50	50
Jambalaya	51	51
Just the Way You Are	52	52
La Vie En Rose	53	53
Leaving On A Jet Plane	54	54
Lei Nani	55	55
Let It Be	56	56
Lion Sleeps Tonight, The	57	57
L-O-V-E	58	58
Lovers Concerto, A	59	59
Me And Julio Down By The Schoolyard	60	60
Million Dreams, A	61	62
Moloka'i Slide	63	63
Monster Mash	64	64
Moon Represents My Heart, The	65	65
Mr Sandman	66	66
My Little Grass Shack	67	67
My Yellow Ginger Lei	68	68
Octopus's Garden	69	69
Ode to Joy	70	70
Old MacDonald Had A Farm	71	71
Perhaps-Quizas	72	72
Proud Mary	73	73
Puamana	74	74
Riptide	75	76
Shallow	77	77
Should I Stay Or Should I Go	78	78
(Sittin' on) The Dock of the Bay	79	79
Somewhere Over The Rainbow	80	80
Stand By Me	81	81
Sway	82	82
Take Me Home Country Road	83	83
Three Little Birds	84	84
Thriller	85	85
Tian Mi Mi	86	86
Till There Was You	87	87
Under The Boardwalk	88	88
Viva La Vida	89	90
Wheels on the Bus, The	91	91
Yellow Submarine	92	92
You Are My Sunshine	93	93
You'll Be Back	94	94
